stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
1001O00006C0,"","Avenida Barão de Tefé,  oposto ao 99","",-22.89731,-43.18737,"","",0,"","",,""
1002O00001C0,"","Rua Rivadávia Corrêa , 187","",-22.89797,-43.1954,"","",0,"","",,""
1002O00004C0,"",Rua Rivadávia Corrêa próximo ao 227-247,"",-22.89541,-43.1964,"","",0,"","",,""
1002O00007C0,"",Rua Camerino próximo ao 32,"",-22.8984,-43.18773,"","",0,"","",,""
1002O00008C0,"",Rua Bento Ribeiro próximo ao 104,"",-22.90064,-43.19296,"","",0,"","",,""
1002O00010C0,"",AquaRio,"",-22.89331,-43.1926,"","",0,"","",,""
1002O00012C2,"",Silvino Montenegro,"",-22.894498,-43.190443,"","",0,"","",,""
1002O00013C0,"",Hospital dos Servidores,"",-22.89538,-43.18789,"","",0,"","",,""
1003O00006C0,"",Avenida Professor Pereira Reis próximo ao 53-101,"",-22.897653,-43.202279,"","",0,"","",,""
1003O00012C0,"","Via Binário do Porto , oposto ao 310","",-22.897611,-43.20376,"","",0,"","",,""
1003O00015C0,"","Rua Equador, oposto ao 436","",-22.8976,-43.20581,"","",0,"","",,""
1003O00016C0,"",Via Binário do Porto próximo ao 742-778,"",-22.89699,-43.20429,"","",0,"","",,""
1003O00017C0,"",Via D1 próximo ao 101 - Santo Cristo,"",-22.901242,-43.206571,"","",0,"","",,""
1003O00018C0,"",Cordeiro da Graça,"",-22.89979,-43.20569,"","",0,"","",,""
1003O00020C0,"",Avenida Rodrigues Alves próximo ao 747,"",-22.89605,-43.20335,"","",0,"","",,""
1003O00023C0,"",VIA BINÁRIO DO PORTO,"",-22.8943,-43.19774,"","",0,"","",,""
1003O00027C0,"",Geógrafo Milton Santos,"",-22.90678,-43.20935,"","",0,"","",,""
1003O00031C0,"",Dinah de Queiroz,"",-22.906215,-43.20955,"","",0,"","",,""
1003O00035C0,"",Avenida Cidade de Lima - Santo Cristo,"",-22.898571,-43.202755,"","",0,"","",,""
1003O00042C0,"",R. da América,"",-22.900666,-43.200768,"","",0,"","",,""
1003O00064C2,"",Ponto Final: Rodoviária :: Linhas 112 e 133,"",-22.900548,-43.208675,"","",0,"","",,""
1003O00065C2,"",Ponto Final: Rodoviária :: Linha 104,"",-22.900214,-43.206754,"","",0,"","",,""
1003O00066C1,"",Ponto Final: Rodoviária :: Linhas 108 e 110,"",-22.900395,-43.207174,"","",0,"","",,""
1003O00067C2,"",Cidade do Samba,"",-22.894509,-43.197401,"","",0,"","",,""
1003VZ0052E9,"",Cordeiro da Graça,"",-22.897111,-43.204214,"","",1,"","",,""
1003VZ0060P1,"",Cordeiro da Graça,"",-22.897132,-43.204272,"","",0,1003VZ0052E9,"",,""
1004O00001C0,"",Carlos Seidl,"",-22.87773,-43.21602,"","",0,"","",,""
1004O00003C0,"",Monsenhor Manuel Gomes,"",-22.8886,-43.22001,"","",0,"","",,""
1004O00008C0,"",Rua Carlos Seidl,"",-22.88385,-43.22547,"","",0,"","",,""
1004O00009C9,"","Rua Carlos Seidl , 1333","",-22.879491,-43.224601,"","",0,"","",,""
1004O00010C0,"",INTO,"",-22.89425,-43.21386,"","",0,"","",,""
1004O00013C0,"","R. Carlos Seidl , oposto ao 321","",-22.876802,-43.218708,"","",0,"","",,""
1004O00014C0,"","Rua Peter Lund , 38","",-22.88343,-43.22595,"","",0,"","",,""
1004O00018C0,"",Ponto Final: Caju :: Linhas 209 e 906,"",-22.87797,-43.21592,"","",0,"","",,""
1004O00006C0,"",Parque Alegria,"",-22.88546,-43.22908,"","",0,"","",,""
1004O00005C0,"",Péter Lund,"",-22.88464,-43.2265,"","",0,"","",,""
1003O00029C0,"",Comandante Garcia Pires,"",-22.90082,-43.20973,"","",0,"","",,""
1003O00026C0,"",Pedro Alves,"",-22.90861,-43.20924,"","",0,"","",,""
1003O00032C1,"",Comandante Garcia Pires,"",-22.901663,-43.208455,"","",0,"","",,""
1003O00033C0,"",Praia Formosa,"",-22.90297,-43.208376,"","",0,"","",,""
1004O00019C9,"","Rua Carlos Seidl , oposto ao 1333","",-22.879428,-43.224736,"","",0,"","",,""
1004O00021C9,"","R. Carlos Seidl , 345","",-22.876667,-43.219271,"","",0,"","",,""
1004O00022C0,"","R. Carlos Seidl , 785","",-22.875813,-43.222653,"","",0,"","",,""
1004O00023C0,"","R. Carlos Seidl , oposto 785","",-22.875651,-43.222618,"","",0,"","",,""
1004O00024C0,"",General Gurjão,"",-22.8764,-43.21381,"","",0,"","",,""
1004O00026C0,"",Estaleiro Inhaúma,"",-22.874689,-43.210347,"","",0,"","",,""
1005L00022S0,"","BRS 1,2,3: Central","",-22.90591,-43.19395,"","",0,"","",,""
1005O00005P0,"",Terminal Procópio Ferreira :: Plat. Central,"",-22.904898,-43.192358,"","",0,1005O00377T9,"",,""
1005O00013S0,"","BRS 4,5: Rua de Santana","",-22.90677,-43.19493,"","",0,"","",,""
1005O00018S0,"","BRS 1,2,3: Santa Luzia","",-22.90853,-43.17225,"","",0,"","",,""
1005O00019S0,"","BRS 5,I: Central","",-22.90609,-43.19353,"","",0,"","",,""
1005O00025S0,"","BRS 3,4: Central","",-22.9059,-43.19296,"","",0,"","",,""
1005O00026S9,"","BRS 3,4: Passos","",-22.90344,-43.18532,"","",0,"","",,""
